chip_panel	original_panel(s)	n_from_each
Panel001	Panel191	1470
Panel002	Panel192	1470
Panel003	Panel193	1470
Panel004	Panel194	1470
Panel005	Panel195	1470
Panel006	Panel196	1470
Panel007	Panel197	1470
Panel008	Panel198	1470
Panel009	Panel199	1470
Panel010	Panel200	1470
Panel011	Panel001	1470
Panel012	Panel002	1470
Panel013	Panel003	1470
Panel014	Panel004	1470
Panel015	Panel005	1470
Panel016	Panel006	1470
Panel017	Panel007	1470
Panel018	Panel008	1470
Panel019	Panel009	1470
Panel020	Panel010	1470
Panel021	Panel011	1470
Panel022	Panel012	1470
Panel023	Panel013	1470
Panel024	Panel014	1470
Panel025	Panel015	1470
Panel026	Panel016	1470
Panel027	Panel017	1470
Panel028	Panel018	1470
Panel029	Panel019	1470
Panel030	Panel020	1470
Panel031	Panel021	1470
Panel032	Panel022	1470
Panel033	Panel023	1470
Panel034	Panel024	1470
Panel035	Panel025	1470
Panel036	Panel026	1470
Panel037	Panel027	1470
Panel038	Panel028	1470
Panel039	Panel029	1470
Panel040	Panel030	1470
Panel041	Panel031	1470
Panel042	Panel032	1470
Panel043	Panel033	1470
Panel044	Panel034	1470
Panel045	Panel035	1470
Panel046	Panel036	1470
Panel047	Panel037	1470
Panel048	Panel038	1470
Panel049	Panel039	1470
Panel050	Panel040	1470
Panel051	Panel041	1470
Panel052	Panel042	1470
Panel053	Panel043	1470
Panel054	Panel044	1470
Panel055	Panel045	1470
Panel056	Panel046	1470
Panel057	Panel047	1470
Panel058	Panel048	1470
Panel059	Panel049	1470
Panel060	Panel050	1470
Panel061	Panel051	1470
Panel062	Panel052	1470
Panel063	Panel053	1470
Panel064	Panel054	1470
Panel065	Panel055	1470
Panel066	Panel056	1470
Panel067	Panel057	1470
Panel068	Panel058	1470
Panel069	Panel059	1470
Panel070	Panel060	1470
Panel071	Panel061	1470
Panel072	Panel062	1470
Panel073	Panel063	1470
Panel074	Panel064	1470
Panel075	Panel065	1470
Panel076	Panel066	1470
Panel077	Panel067	1470
Panel078	Panel068	1470
Panel079	Panel069	1470
Panel080	Panel070	1470
Panel081	Panel071	1470
Panel082	Panel072	1470
Panel083	Panel073	1470
Panel084	Panel074	1470
Panel085	Panel075	1470
Panel086	Panel076	1470
Panel087	Panel077	1470
Panel088	Panel078	1470
Panel089	Panel079	1470
Panel090	Panel080	1470
Panel091	Panel081	1470
Panel092	Panel082	1470
Panel093	Panel083	1470
Panel094	Panel084	1470
Panel095	Panel085	1470
Panel096	Panel086	1470
Panel097	Panel087	1470
Panel098	Panel088	1470
Panel099	Panel089	1470
Panel100	Panel090	1470
Panel101	Panel091	1470
Panel102	Panel092	1470
Panel103	Panel093	1470
Panel104	Panel094	1470
Panel105	Panel095	1470
Panel106	Panel096	1470
Panel107	Panel097	1470
Panel108	Panel098	1470
Panel109	Panel099	1470
Panel110	Panel100	1470
Panel111	Panel101	1470
Panel112	Panel102	1470
Panel113	Panel103	1470
Panel114	Panel104	1470
Panel115	Panel105	1470
Panel116	Panel106	1470
Panel117	Panel107	1470
Panel118	Panel108	1470
Panel119	Panel109	1470
Panel120	Panel110	1470
Panel121	Panel111	1470
Panel122	Panel112	1470
Panel123	Panel113	1470
Panel124	Panel114	1470
Panel125	Panel115	1470
Panel126	Panel116	1470
Panel127	Panel117	1470
Panel128	Panel118	1470
Panel129	Panel119	1470
Panel130	Panel120	1470
Panel131	Panel121	1470
Panel132	Panel122	1470
Panel133	Panel123	1470
Panel134	Panel124	1470
Panel135	Panel125	1470
Panel136	Panel126	1470
Panel137	Panel127	1470
Panel138	Panel128	1470
Panel139	Panel129	1470
Panel140	Panel130	1470
Panel141	Panel131	1470
Panel142	Panel132	1470
Panel143	Panel133	1470
Panel144	Panel134	1470
Panel145	Panel135	1470
Panel146	Panel136	1470
Panel147	Panel137	1470
Panel148	Panel138	1470
Panel149	Panel139	1470
Panel150	Panel140	1470
Panel151	Panel141	1470
Panel152	Panel142	1470
Panel153	Panel143	1470
Panel154	Panel144	1470
Panel155	Panel145	1470
Panel156	Panel146	1470
Panel157	Panel147	1470
Panel158	Panel148	1470
Panel159	Panel149	1470
Panel160	Panel150	1470
Panel161	Panel151	1470
Panel162	Panel152	1470
Panel163	Panel153	1470
Panel164	Panel154	1470
Panel165	Panel155	1470
Panel166	Panel156	1470
Panel167	Panel157	1470
Panel168	Panel158	1470
Panel169	Panel159	1470
Panel170	Panel160	1470
Panel171	Panel161	1470
Panel172	Panel162	1470
Panel173	Panel163	1470
Panel174	Panel164	1470
Panel175	Panel165	1470
Panel176	Panel166	1470
Panel177	Panel167	1470
Panel178	Panel168	1470
Panel179	Panel169	1470
Panel180	Panel170	1470
Panel181	Panel171	1470
Panel182	Panel172	1470
Panel183	Panel173	1470
Panel184	Panel174	1470
Panel185	Panel175	1470
Panel186	Panel176	1470
Panel187	Panel177	1470
Panel188	Panel178	1470
Panel189	Panel179	1470
Panel190	Panel180	1470
Panel191	Panel181	1470
Panel192	Panel182	1470
Panel193	Panel183	1470
Panel194	Panel184	1470
Panel195	Panel185	1470
Panel196	Panel186	1470
Panel197	Panel187	1470
Panel198	Panel188	1470
Panel199	Panel189	1470
Panel200	Panel190	1470
